"Intersection","Analysis Neighborhood","Latitude","Longitude"
,,,
"BACHE ST \ BENTON AVE","Bernal Heights","37.73394775391","-122.41757202148"
"48TH AVE \ GREAT HWY \ ULLOA ST","Sunset/Parkside","37.7398109436","-122.50667572021"
"CONKLING ST \ WATERVILLE ST","Bayview Hunters Point","37.73588943481","-122.40282440186"
"16TH ST \ OWENS ST","Mission Bay","37.76669311523","-122.39266204834"
"MELROSE AVE \ TERESITA BLVD","West of Twin Peaks","37.73384857178","-122.44578552246"
"BERKSHIRE WAY \ LAKE MERCED BLVD \ LAKESHORE DR","Sunset/Parkside","37.73127746582","-122.49800109863"
"20TH ST \ RHODE ISLAND ST","Potrero Hill","37.75967407227","-122.40207672119"
"MISSION ST \ ONONDAGA AVE","Excelsior","37.72116470337","-122.43746185303"
"BRENTWOOD AVE \ YERBA BUENA AVE","West of Twin Peaks","37.73364639282","-122.45906066895"
"MISSION ST \ RICHLAND AVE","Bernal Heights","37.73606109619","-122.42446899414"
"OLYMPIA WAY \ PANORAMA DR","Twin Peaks","37.75123596191","-122.45213317871"
"ARCH ST \ SARGENT ST","Oceanview/Merced/Ingleside","37.71610641479","-122.46711730957"
"BROADWAY \ CORDELIA ST","Chinatown","37.7975730896","-122.4090423584"
"COLERIDGE ST \ COSO AVE","Bernal Heights","37.74607849121","-122.41815948486"
"EDDY ST \ STEINER ST","Western Addition","37.78121948242","-122.43397521973"
"ONONDAGA AVE \ WANDA ST","Outer Mission","37.7223739624","-122.44054412842"
"ANTHONY ST \ MISSION ST","Financial District/South Beach","37.78835296631","-122.39936065674"
"09TH ST \ BRANNAN ST","South of Market","37.77005004883","-122.40699768066"
"37TH AVE \ SUNSET BLVD","Sunset/Parkside","37.76398086548","-122.4965057373"
"42ND AVE \ LAWTON ST","Sunset/Parkside","37.75688171387","-122.50137329102"
"GATES ST \ JARBOE AVE","Bernal Heights","37.73834991455","-122.41399383545"
"26TH ST \ HAMPSHIRE ST","Mission","37.7497177124","-122.40689849854"
"21ST ST \ RAYBURN ST","Castro/Upper Market","37.75625991821","-122.43177032471"
"BROADWAY \ BRODERICK ST","Pacific Heights","37.79322433472","-122.44319152832"
"OAK ST \ OCTAVIA ST","Hayes Valley","37.7748260498","-122.42413330078"
"23RD ST \ AMES ST","Mission","37.75353622437","-122.42359924316"
"BALTIMORE WAY \ SOUTH HILL BLVD","Excelsior","37.71016693115","-122.43067932129"
"MARTIN LUTHER KING JR DR \ MIDDLE WEST DR","Golden Gate Park","37.76514053345","-122.49835205078"
"BRANNAN ST \ DELANCEY ST","Financial District/South Beach","37.78360748291","-122.38984680176"
"STRIPED BASS ST \ STURGEON ST","Treasure Island","37.82647705078","-122.37608337402"
"26TH ST \ LILAC ST","Mission","37.74907684326","-122.41756439209"
"DAVIDSON AVE \ RANKIN ST","Bayview Hunters Point","37.74573516846","-122.39161682129"
"26TH ST \ HORACE ST","Mission","37.74927139282","-122.4143371582"
"SCOTT ST \ WASHINGTON ST","Pacific Heights","37.79097366333","-122.4393081665"
"23RD ST \ YORK ST","Mission","37.75445175171","-122.4083404541"
"KANSAS ST \ MARIPOSA ST","Potrero Hill","37.76344680786","-122.40341186523"
"16TH AVE \ LAWTON ST","Inner Sunset","37.75809860229","-122.47370147705"
"BEAUMONT AVE \ GEARY BLVD","Lone Mountain/USF","37.78145980835","-122.45528411865"
"24TH ST \ VICKSBURG ST","Noe Valley","37.75163650513","-122.42855072021"
"FAXON AVE \ THRIFT ST","Oceanview/Merced/Ingleside","37.71744537354","-122.4602355957"
"HOLLADAY AVE \ RUTLEDGE ST","Bernal Heights","37.74502944946","-122.40557098389"
"HYDE ST \ PACIFIC AVE","Russian Hill","37.79546356201","-122.41829681396"
"25TH ST \ DE HARO ST","Potrero Hill","37.75207519531","-122.40041351318"
"04TH ST \ MARIPOSA ST \ MINNESOTA ST","Potrero Hill","37.76420211792","-122.39081573486"
"05TH ST \ CLARA ST","South of Market","37.77945709229","-122.40237426758"
"GREAT HWY \ LA PLAYA \ LAWTON ST","Sunset/Parkside","37.75654983521","-122.50890350342"
"BENTON AVE \ COLLEGE AVE","Bernal Heights","37.73289108276","-122.42358398438"
"AMAZON AVE \ ATHENS ST","Excelsior","37.71475219727","-122.43363952637"
"MONTGOMERY ST \ UNION ST","North Beach","37.80103683472","-122.40442657471"
"BUCHANAN ST \ LILY ST","Hayes Valley","37.77392196655","-122.4274520874"
"18TH ST \ DOLORES ST","Mission","37.76142883301","-122.42607879639"
"11TH AVE \ CABRILLO ST","Inner Richmond","37.77512359619","-122.46923065186"
"POWHATTAN AVE \ PRENTISS ST","Bernal Heights","37.74140930176","-122.4119720459"
"34TH AVE \ CRESTLAKE DR \ WAWONA ST","Sunset/Parkside","37.73729324341","-122.49133300781"
